"app_id","positive","negative","estimated_owners","owners_min","owners_max","average_playtime_forever","average_playtime_2weeks","median_playtime_forever","median_playtime_2weeks","peak_ccu"
"601050","6671","498","200000 - 500000","200000","500000","1799","0","1312","0","117"
"318600","5443","1723","500000 - 1000000","500000","1000000","218","222","113","222","5"
"1178030","6965","195","500000 - 1000000","500000","1000000","50","0","51","0","3"
"673130","6709","448","1000000 - 2000000","1000000","2000000","281","0","112","0","9"
"451020","6252","903","200000 - 500000","200000","500000","985","0","330","0","12"
"1594320","6737","417","200000 - 500000","200000","500000","7252","1292","1018","2264","4404"
"2676840","6931","219","200000 - 500000","200000","500000","141","0","155","0","17"
"2095300","6283","865","500000 - 1000000","500000","1000000","381","0","388","0","22"
"268130","6756","390","500000 - 1000000","500000","1000000","886","12","370","12","21"
"761620","6253","890","500000 - 1000000","500000","1000000","465","0","265","0","76"
"886250","5700","1442","200000 - 500000","200000","500000","799","34","163","34","171"
"1041720","5468","1670","1000000 - 2000000","1000000","2000000","911","93","331","93","114"
"702050","6487","649","200000 - 500000","200000","500000","756","0","311","0","21"
"731040","6306","821","500000 - 1000000","500000","1000000","328","48","348","48","22"
"397060","5956","1168","500000 - 1000000","500000","1000000","844","0","152","0","26"
"351940","6312","811","2000000 - 5000000","2000000","5000000","779","0","257","0","15"
"1227690","6798","315","500000 - 1000000","500000","1000000","216","95","107","95","69"
"1585220","6752","354","200000 - 500000","200000","500000","177","91","124","91","29"
"610080","6185","917","1000000 - 2000000","1000000","2000000","3786","0","248","0","595"
"1955830","6899","186","100000 - 200000","100000","200000","447","0","292","0","67"
"816340","6792","292","200000 - 500000","200000","500000","895","91","687","181","136"
"1010750","6775","305","500000 - 1000000","500000","1000000","580","0","262","0","40"
"234270","6557","522","200000 - 500000","200000","500000","348","0","193","0","11"
"1898300","5660","1415","500000 - 1000000","500000","1000000","2240","619","1134","892","701"
"1708850","3930","3143","200000 - 500000","200000","500000","1523","0","762","0","145"
"2683150","6308","762","500000 - 1000000","500000","1000000","475","64","440","108","190"
"1202540","6892","176","50000 - 100000","50000","100000","349","195","360","195","4"
"544550","6040","1026","200000 - 500000","200000","500000","4906","84","2222","96","232"
"701160","6244","819","2000000 - 5000000","2000000","5000000","1160","373","575","491","1305"
"1328840","6924","125","200000 - 500000","200000","500000","267","0","311","0","15"
"1963370","4668","2376","200000 - 500000","200000","500000","2506","4017","769","4051","175"
"1443200","6720","323","200000 - 500000","200000","500000","179","8","170","8","46"
"1486920","6276","767","500000 - 1000000","500000","1000000","759","354","378","451","528"
"1009560","5644","1398","500000 - 1000000","500000","1000000","521","68","320","68","93"
"1342330","6607","434","500000 - 1000000","500000","1000000","1395","165","826","165","124"
"293780","6673","366","200000 - 500000","200000","500000","278","76","153","76","8"
"1166290","6106","922","500000 - 1000000","500000","1000000","159","0","124","0","30"
"2306590","6595","428","100000 - 200000","100000","200000","75","40","52","40","9"
"1241700","6807","215","200000 - 500000","200000","500000","94","0","21","0","2"
"1469280","6872","144","500000 - 1000000","500000","1000000","157","0","66","0","16"
"1408610","4369","2633","200000 - 500000","200000","500000","983","424","560","424","110"
"530070","5414","1577","200000 - 500000","200000","500000","1588","0","1076","0","8"
"1635450","4789","2202","100000 - 200000","100000","200000","780","0","294","0","319"
"1593030","6118","869","200000 - 500000","200000","500000","450","82","284","106","99"
"2420660","6580","396","100000 - 200000","100000","200000","210","0","170","0","18"
"2276930","6474","498","200000 - 500000","200000","500000","2580","1","734","1","1163"
"1220010","6072","892","200000 - 500000","200000","500000","2456","855","1382","855","176"
"1161170","6702","255","200000 - 500000","200000","500000","251","0","324","0","17"
"531640","5384","1569","500000 - 1000000","500000","1000000","3612","34","400","34","135"
"1575940","5949","997","200000 - 500000","200000","500000","1854","383","617","345","544"
"558100","5458","1460","1000000 - 2000000","1000000","2000000","652","0","74","0","44"
"825630","6657","261","100000 - 200000","100000","200000","1026","0","584","0","73"
"1641960","5595","1323","200000 - 500000","200000","500000","992","1439","536","1439","215"
"263980","6433","483","200000 - 500000","200000","500000","161","0","134","0","1"
"1280930","6549","365","200000 - 500000","200000","500000","843","545","453","1029","184"
"1116960","6046","867","500000 - 1000000","500000","1000000","0","0","0","0","22"
"1634150","6518","392","200000 - 500000","200000","500000","113","0","134","0","6"
"2461850","6038","871","100000 - 200000","100000","200000","350","34","298","34","17"
"1585180","6584","324","200000 - 500000","200000","500000","856","351","413","557","102"
"799640","6711","192","200000 - 500000","200000","500000","385","0","247","0","2"
"734750","5965","933","500000 - 1000000","500000","1000000","1103","0","108","0","97"
"829110","6299","589","200000 - 500000","200000","500000","569","361","354","583","85"
"357190","6299","583","500000 - 1000000","500000","1000000","745","311","198","311","229"
"1146630","6178","698","200000 - 500000","200000","500000","78","346","78","346","3"
"1067310","6738","137","200000 - 500000","200000","500000","0","0","0","0","3"
"615530","5504","1369","200000 - 500000","200000","500000","2184","0","2079","0","19"
"778700","5608","1265","200000 - 500000","200000","500000","229","19","160","19","24"
"2625420","5544","1309","100000 - 200000","100000","200000","1029","320","646","285","3366"
"2478970","6128","721","200000 - 500000","200000","500000","910","146","202","91","252"
"520720","5103","1746","200000 - 500000","200000","500000","206","0","41","0","5"
"1157390","5721","1112","500000 - 1000000","500000","1000000","1889","63","1478","94","231"
"1173770","6448","365","500000 - 1000000","500000","1000000","1603","0","726","0","89"
"237870","4226","2586","200000 - 500000","200000","500000","933","0","342","0","8"
"1264670","4706","2098","1000000 - 2000000","1000000","2000000","779","0","793","0","1"
"1292940","6674","122","200000 - 500000","200000","500000","407","296","282","296","123"
"1684930","6672","118","200000 - 500000","200000","500000","437","0","251","0","17"
"893850","6266","522","200000 - 500000","200000","500000","1298","29","694","29","49"
"582550","5983","796","200000 - 500000","200000","500000","246","13","183","13","25"
"567630","5132","1646","500000 - 1000000","500000","1000000","1836","2114","94","2114","110"
"742420","3883","2886","200000 - 500000","200000","500000","822","0","365","0","71"
"401680","6216","549","500000 - 1000000","500000","1000000","204","0","124","0","14"
"619080","1880","4882","200000 - 500000","200000","500000","201","0","33","0","0"
"1229240","6095","662","200000 - 500000","200000","500000","1297","4","452","7","102"
"2096600","6022","731","1000000 - 2000000","1000000","2000000","403","0","347","0","79"
"427190","5942","799","500000 - 1000000","500000","1000000","704","0","258","0","40"
"1009290","4099","2638","200000 - 500000","200000","500000","1796","0","524","0","14"
"1203630","6262","471","200000 - 500000","200000","500000","243","0","266","0","4"
"1622910","6001","722","200000 - 500000","200000","500000","309","0","292","0","31"
"1063420","5922","791","200000 - 500000","200000","500000","776","46","551","46","514"
"1874490","6067","636","500000 - 1000000","500000","1000000","655","501","465","501","55"
"307880","3651","3035","200000 - 500000","200000","500000","344","5","140","5","2"
"1218210","5703","979","500000 - 1000000","500000","1000000","714","0","283","0","250"
"938560","6083","597","200000 - 500000","200000","500000","177","1","177","1","4"
"438640","5606","1074","500000 - 1000000","500000","1000000","589","4","333","4","28"
"894940","6231","448","200000 - 500000","200000","500000","915","0","454","0","31"
"684410","6123","555","200000 - 500000","200000","500000","263","0","137","0","40"
"1079260","6454","209","500000 - 1000000","500000","1000000","325","0","195","0","34"
"3061810","6033","613","200000 - 500000","200000","500000","1534","54","1441","65","213"
"1337010","6500","140","100000 - 200000","100000","200000","140","230","143","262","15"
"800270","4758","1871","500000 - 1000000","500000","1000000","1266","1","489","1","361"
"773790","6297","329","200000 - 500000","200000","500000","654","190","437","190","111"
"1038250","3549","3077","200000 - 500000","200000","500000","378","84","117","84","24"
"790820","5759","854","500000 - 1000000","500000","1000000","1615","49","655","49","61"
"793460","5916","692","100000 - 200000","100000","200000","604","227","225","401","119"
"511470","6405","202","2000000 - 5000000","2000000","5000000","373","0","284","0","11"
"454120","3824","2782","200000 - 500000","200000","500000","2722","0","1314","0","6"
"378610","6033","563","200000 - 500000","200000","500000","196","0","166","0","2"
"2818260","3089","3503","100000 - 200000","100000","200000","211","137","64","137","92"
"1360000","5608","978","200000 - 500000","200000","500000","1647","141","349","141","125"
"2873080","6180","405","100000 - 200000","100000","200000","430","83","130","83","93"
"1434950","5845","738","500000 - 1000000","500000","1000000","1835","915","817","915","51"
"518150","5956","627","200000 - 500000","200000","500000","888","133","347","133","9"
"398850","6235","346","500000 - 1000000","500000","1000000","211","0","159","0","8"
"1001270","5650","926","200000 - 500000","200000","500000","871","0","710","0","80"
"2135150","6163","412","500000 - 1000000","500000","1000000","10759","6622","1690","13237","1277"
"1176470","5257","1303","200000 - 500000","200000","500000","4785","1300","2603","1772","697"
"562010","4041","2515","100000 - 200000","100000","200000","1351","0","62","0","63"
"495140","4984","1561","200000 - 500000","200000","500000","410","0","189","0","39"
"2302660","6305","235","500000 - 1000000","500000","1000000","447","0","472","0","62"
"1150760","6231","308","500000 - 1000000","500000","1000000","469","25","302","25","39"
"1238040","5311","1226","500000 - 1000000","500000","1000000","1225","0","1039","0","140"
"1958220","6305","231","100000 - 200000","100000","200000","1292","140","1042","140","46"
"1649080","5711","823","500000 - 1000000","500000","1000000","684","697","265","1115","191"
"439190","5754","767","2000000 - 5000000","2000000","5000000","292","0","305","0","3"
"491540","4839","1682","200000 - 500000","200000","500000","973","32","648","32","164"
"2704110","6393","119","200000 - 500000","200000","500000","654","48","358","48","81"
"1064610","6221","287","500000 - 1000000","500000","1000000","56","0","28","0","2"
"1330470","5700","803","500000 - 1000000","500000","1000000","746","17","882","17","11"
"1216320","5662","836","200000 - 500000","200000","500000","500","0","508","0","41"
"530890","5506","987","200000 - 500000","200000","500000","207","0","47","0","12"
"1120810","5497","993","500000 - 1000000","500000","1000000","452","244","282","244","6"
"1328350","6161","325","200000 - 500000","200000","500000","426","9","226","9","27"
"1506980","6252","212","200000 - 500000","200000","500000","60511","0","88297","0","8"
"648390","6058","405","200000 - 500000","200000","500000","75","0","53","0","4"
"522470","5619","821","200000 - 500000","200000","500000","434","29","406","29","28"
"718850","5137","1294","200000 - 500000","200000","500000","2708","0","270","0","112"
"1206610","5454","973","500000 - 1000000","500000","1000000","109","19","73","37","54"
"1972440","5883","537","200000 - 500000","200000","500000","233","476","131","476","71"
"553310","6209","200","200000 - 500000","200000","500000","453","0","240","0","30"
"1468720","5392","1017","200000 - 500000","200000","500000","389","143","148","195","85"
"1562420","5811","590","500000 - 1000000","500000","1000000","558","98","331","125","35"
"1057750","4394","2006","100000 - 200000","100000","200000","176","0","153","0","5"
"581630","5527","871","200000 - 500000","200000","500000","243","0","140","0","12"
"1105500","5842","548","200000 - 500000","200000","500000","1476","332","1355","332","105"
"450390","6066","323","1000000 - 2000000","1000000","2000000","150","2","51","3","18"
"2166060","5993","391","200000 - 500000","200000","500000","161","0","143","0","27"
"900040","4696","1687","200000 - 500000","200000","500000","2042","0","513","0","61"
"1167450","5517","858","200000 - 500000","200000","500000","810","0","379","0","22"
"1274290","5481","891","200000 - 500000","200000","500000","0","0","0","0","1"
"914710","6092","273","200000 - 500000","200000","500000","263","0","159","0","44"
"2291060","4262","2084","200000 - 500000","200000","500000","3921","461","2697","854","369"
"1881700","3439","2906","500000 - 1000000","500000","1000000","3762","2249","95","2249","451"
"839770","4599","1745","200000 - 500000","200000","500000","1912","728","690","730","177"
"1105510","5658","673","500000 - 1000000","500000","1000000","21769","10184","2871","10184","149"
"1104280","5174","1149","200000 - 500000","200000","500000","1950","0","1008","0","2052"
"1718870","6085","233","200000 - 500000","200000","500000","389","0","411","0","100"
"1088790","5212","1104","200000 - 500000","200000","500000","424","29","198","29","358"
"1927720","6189","120","200000 - 500000","200000","500000","155","24","126","24","58"
"1937500","5853","440","200000 - 500000","200000","500000","1120","744","559","744","205"
"1013320","4891","1401","500000 - 1000000","500000","1000000","20787","4162","212","4162","1785"
"1902690","5723","562","100000 - 200000","100000","200000","1228","0","1087","0","70"
"434170","6080","204","200000 - 500000","200000","500000","636","44","354","47","124"
"1369670","5915","362","200000 - 500000","200000","500000","1572","52","750","52","844"
"562220","5994","278","200000 - 500000","200000","500000","189","0","117","0","1"
"426000","5475","785","500000 - 1000000","500000","1000000","1779","1","253","1","59"
"579180","5618","641","200000 - 500000","200000","500000","2148","0","2369","0","37"
"1340990","3691","2562","100000 - 200000","100000","200000","2140","267","1812","490","385"
"1147860","5982","267","100000 - 200000","100000","200000","549","9","230","9","163"
"840800","3715","2533","200000 - 500000","200000","500000","1455","0","866","0","8"
"1995520","4097","2145","200000 - 500000","200000","500000","19821","5616","1567","5616","145"
"952040","5564","677","200000 - 500000","200000","500000","260","0","85","0","39"
"647960","6035","206","200000 - 500000","200000","500000","1046","512","396","512","174"
"1277930","6136","103","100000 - 200000","100000","200000","1867","107","1264","108","122"
"572410","4638","1593","200000 - 500000","200000","500000","1137","0","622","0","34"
"391730","5582","649","200000 - 500000","200000","500000","571","33","327","33","96"
"310370","4609","1617","1000000 - 2000000","1000000","2000000","37","0","19","0","3"
"1128860","3948","2278","200000 - 500000","200000","500000","713","62","405","71","69"
"1252780","5676","546","200000 - 500000","200000","500000","885","1","222","1","217"
"973810","5422","795","200000 - 500000","200000","500000","479","0","352","0","72"
"1201270","6057","158","200000 - 500000","200000","500000","487","0","579","0","14"
"1373960","5602","610","200000 - 500000","200000","500000","225","4","264","4","7"
"477740","5798","408","200000 - 500000","200000","500000","1883","0","1411","0","81"
"1651560","5342","862","200000 - 500000","200000","500000","505","64","361","64","598"
"2291850","6098","106","200000 - 500000","200000","500000","247","0","207","0","40"
"1702010","4599","1601","200000 - 500000","200000","500000","976","338","576","338","203"
