"app_id","supported_languages"
"892970","French"
"892970","Portuguese - Brazil"
"892970","Ukrainian"
"892970","Traditional Chinese"
"892970","Korean"
"892970","Spanish - Spain"
"892970","Polish"
"892970","Japanese"
"892970","Simplified Chinese"
"892970","Russian"
"892970","Turkish"
"322330","German"
"322330","English"
"322330","French"
"322330","Traditional Chinese"
"322330","Korean"
"322330","Polish"
"322330","Japanese"
"322330","Simplified Chinese"
"322330","Spanish - Latin America"
"322330","Russian"
"322330","Italian"
"322330","Portuguese - Portugal"
"582010","German"
"582010","English"
"582010","French"
"582010","Portuguese - Brazil"
"582010","Traditional Chinese"
"582010","Korean"
"582010","Spanish - Spain"
"582010","Polish"
"582010","Simplified Chinese"
"582010","Japanese"
"582010","Arabic"
"582010","Spanish - Latin America"
"582010","Russian"
"582010","Italian"
"1966720","English"
"1097150","German"
"1097150","English"
"1097150","French"
"1097150","Portuguese - Brazil"
"1097150","Traditional Chinese"
"1097150","Korean"
"1097150","Spanish - Spain"
"1097150","Simplified Chinese"
"1097150","Japanese"
"1097150","Russian"
"1097150","Italian"
"221100","Czech"
"221100","German"
"221100","English"
"221100","French"
"221100","Portuguese - Brazil"
"221100","Traditional Chinese"
"221100","Spanish - Spain"
"221100","Polish"
"221100","Japanese"
"221100","Simplified Chinese"
"221100","Russian"
"221100","Italian"
"367520","German"
"367520","English"
"367520","French"
"367520","Portuguese - Brazil"
"367520","Korean"
"367520","Spanish - Spain"
"367520","Japanese"
"367520","Simplified Chinese"
"367520","Russian"
"367520","Italian"
"374320","German"
"374320","English"
"374320","French"
"374320","Portuguese - Brazil"
"374320","Traditional Chinese"
"374320","Korean"
"374320","Spanish - Spain"
"374320","Polish"
"374320","Japanese"
"374320","Simplified Chinese"
"374320","Russian"
"374320","Italian"
"291550","German"
"291550","English"
"291550","French"
"291550","Portuguese - Brazil"
"291550","Traditional Chinese"
"291550","Korean"
"291550","Spanish - Spain"
"291550","Simplified Chinese"
"291550","Japanese"
"291550","Turkish"
"291550","Spanish - Latin America"
"291550","Russian"
"291550","Italian"
"1623730","English"
"1623730","German"
"1623730","French"
"1623730","Portuguese - Brazil"
"1623730","Traditional Chinese"
"1623730","Thai"
"1623730","Korean"
"1623730","Indonesian"
"1623730","Spanish - Spain"
"1623730","Vietnamese"
"1623730","Polish"
"1623730","Japanese"
"1623730","Simplified Chinese"
"1623730","Turkish"
"1623730","Spanish - Latin America"
"1623730","Russian"
"1623730","Italian"
"251570","German"
"251570","English"
"251570","French"
"251570","Portuguese - Brazil"
"251570","Traditional Chinese"
"251570","Korean"
"251570","Spanish - Spain"
"251570","Polish"
"251570","Simplified Chinese"
"251570","Japanese"
"251570","Turkish"
"251570","Spanish - Latin America"
"251570","Russian"
"251570","Italian"
"1172620","German"
"1172620","English"
"1172620","French"
"1172620","Portuguese - Brazil"
"1172620","Traditional Chinese"
"1172620","Thai"
"1172620","Korean"
"1172620","Spanish - Spain"
"1172620","Polish"
"1172620","Japanese"
"1172620","Simplified Chinese"
"1172620","Turkish"
"1172620","Spanish - Latin America"
"1172620","Russian"
"1172620","Italian"
"960090","German"
"960090","Portuguese - Brazil"
"960090","Norwegian"
"960090","Spanish - Spain"
"960090","Arabic"
"960090","Russian"
"960090","Turkish"
"960090","Italian"
"960090","Dutch"
"960090","English"
"960090","Traditional Chinese"
"960090","Spanish - Latin America"
"960090","Danish"
"960090","Japanese"
"960090","Finnish"
"960090","French"
"960090","Thai"
"960090","Korean"
"960090","Swedish"
"960090","Polish"
"960090","Simplified Chinese"
"275850","German"
"275850","English"
"275850","French"
"275850","Portuguese - Brazil"
"275850","Traditional Chinese"
"275850","Korean"
"275850","Dutch"
"275850","Spanish - Spain"
"275850","Polish"
"275850","Simplified Chinese"
"275850","Japanese"
"275850","Russian"
