"app_id","rawg_rating","rawg_ratings_count","rawg_added","rawg_id","rawg_score","rawg_status_yet","rawg_status_owned","rawg_status_beaten","rawg_status_toplay","rawg_status_dropped","rawg_status_playing"
"839910","0.0","4","106","264773.0","81.95279","2","101","0","1","2","0"
"1392960","3.58","12","82","664878.0","117.537155","8","48","7","11","4","4"
"694720","2.12","66","710","58501.0","38.8704","9","617","5","1","76","2"
"611980","2.23","13","212","10189.0","71.68132","7","194","8","0","2","1"
"510050","2.88","17","368","18816.0","80.9547","8","344","6","1","8","1"
"1420350","0.0","1","23","536888.0","51.93137","1","15","0","5","2","0"
"725270","3.42","26","229","62783.0","81.05356","25","139","18","34","8","5"
"1669170","0.0","0","11","752102.0","64.73752","0","10","1","0","0","0"
"1471200","0.0","1","20","37438.0","50.963684","0","16","1","3","0","0"
"1371690","2.96","25","225","489293.0","57.98194","20","115","2","62","23","3"
"586030","3.84","18","207","19020.0","38.159836","10","164","24","6","3","0"
"1162070","0.0","1","21","484524.0","56.287098","2","15","1","3","0","0"
"1301390","3.43","6","42","491009.0","67.96391","6","22","3","8","3","0"
"1151050","4.0","7","727","787607.0","72.681694","20","693","0","6","3","5"
"1389160","0.0","1","36","485174.0","77.86548","2","30","3","1","0","0"
"1574900","0.0","1","26","854407.0","85.08035","0","23","0","2","1","0"
"2055290","3.08","24","167","608563.0","88.33262","7","90","26","29","11","4"
"1582680","0.0","4","58","772675.0","108.40341","3","49","5","1","0","0"
"425210","2.73","32","823","2443.0","63.982113","47","737","8","10","19","2"
"2821800","0.0","2","16","988807.0","59.025578","1","5","1","7","2","0"
"1508680","0.0","2","32","578179.0","94.53018","2","28","0","1","1","0"
"1798010","0.0","2","36","957453.0","111.59926","3","32","0","1","0","0"
"1922010","0.0","0","7","968940.0","47.229267","0","6","0","1","0","0"
"885150","4.0","15","159","243197.0","110.47702","5","133","14","4","1","2"
"1910680","0.0","2","32","611958.0","77.46673","0","30","0","0","2","0"
"1779200","0.0","0","0","205221.0","49.34999","0","0","0","0","0","0"
"287310","4.19","85","241","30162.0","86.47327","6","93","68","17","55","2"
"1026420","0.0","0","15","996724.0","78.63346","2","13","0","0","0","0"
"2793710","0.0","4","9","991170.0","49.902466","0","2","4","1","2","0"
"1722860","0.0","3","51","887675.0","76.48776","3","39","2","3","1","3"
"395570","2.68","34","742","104.0","103.58795","46","671","5","3","15","2"
"672870","0.0","0","5","981803.0","20.042942","0","5","0","0","0","0"
