"app_id","platform_names"
"813780","PC"
"813780","Xbox"
"379430","PC"
"379430","PlayStation"
"379430","Xbox"
"1172380","PC"
"1172380","PlayStation"
"1172380","Xbox"
"1593500","PlayStation"
"1332010","Apple Macintosh"
"1332010","Nintendo"
"1332010","PC"
"1332010","PlayStation"
"1332010","Xbox"
"306130","PC"
"306130","Apple Macintosh"
"2379780","PC"
"2379780","iOS"
"2379780","PlayStation"
"2379780","Nintendo"
"1782210","PC"
"1782210","Apple Macintosh"
"1782210","Linux"
"1811260","PC"
"304390","PC"
"304390","PlayStation"
"304390","Xbox"
"262060","Apple Macintosh"
"262060","Linux"
"262060","Nintendo"
"262060","PC"
"262060","PlayStation"
"262060","Xbox"
"397540","PC"
"397540","PlayStation"
"397540","Xbox"
"397540","Nintendo"
"444200","Apple Macintosh"
"444200","Nintendo"
"444200","Android"
"444200","PC"
"444200","iOS"
"552990","PC"
"601150","PC"
"601150","PlayStation"
"601150","Xbox"
"2881650","PC"
"671860","PC"
"524220","PC"
"524220","PlayStation"
"524220","Xbox"
"524220","Nintendo"
"433340","Apple Macintosh"
"433340","Linux"
"433340","Nintendo"
"433340","PC"
"433340","PlayStation"
"433340","Xbox"
"686810","PC"
"686810","PlayStation"
"686810","Xbox"
"1057090","PC"
"1057090","Xbox"
"1057090","Nintendo"
"391220","PC"
"391220","Apple Macintosh"
"391220","PlayStation"
"391220","Xbox"
"508440","Apple Macintosh"
"508440","Nintendo"
"508440","PC"
"508440","Linux"
"508440","Xbox"
"552500","PC"
"552500","PlayStation"
"552500","Xbox"
"1222680","PC"
"1222680","PlayStation"
"1222680","Xbox"
"244850","PC"
"244850","Xbox"
"1092790","Apple Macintosh"
"1092790","Linux"
"1092790","Nintendo"
"1092790","PC"
"1092790","PlayStation"
"1868140","PC"
"1868140","Apple Macintosh"
"1868140","Nintendo"
"570940","PC"
"570940","PlayStation"
"570940","Xbox"
"570940","Nintendo"
"361420","PC"
"361420","PlayStation"
"361420","Xbox"
"361420","Nintendo"
"457140","PC"
"457140","Apple Macintosh"
"457140","Linux"
"1677740","PC"
"1677740","iOS"
"1677740","Android"
"362890","PC"
"362890","Linux"
"581320","PC"
"581320","PlayStation"
"581320","Xbox"
"1158310","Apple Macintosh"
"1158310","Linux"
"1158310","PC"
"1158310","PlayStation"
"1158310","Xbox"
"232090","PC"
"232090","PlayStation"
"232090","Xbox"
"1151640","PC"
"1151640","PlayStation"
"1289310","PC"
"1289310","Apple Macintosh"
"1289310","Linux"
"594570","PC"
"594570","Apple Macintosh"
"594570","Linux"
"323190","PC"
"323190","PlayStation"
"323190","Xbox"
"323190","Nintendo"
"674940","PC"
"674940","Apple Macintosh"
"674940","iOS"
"674940","Android"
"1151340","PC"
"1151340","PlayStation"
"1151340","Xbox"
"412020","PC"
"412020","PlayStation"
"412020","Xbox"
"1506830","PC"
"1506830","PlayStation"
"1506830","Xbox"
"1506830","Nintendo"
"504230","Apple Macintosh"
"504230","Linux"
"504230","Nintendo"
"504230","PC"
"504230","PlayStation"
"504230","Xbox"
"1142710","PC"
"1142710","Apple Macintosh"
"1142710","Linux"
"1604030","PC"
"774171","Apple Macintosh"
"774171","Nintendo"
"774171","Android"
"774171","PC"
"774171","iOS"
"1196590","Nintendo"
"1196590","PC"
"1196590","PlayStation"
"1196590","iOS"
"1196590","Xbox"
"1832640","PC"
"582160","PC"
"582160","PlayStation"
"582160","Xbox"
