"app_id","full_audio_languages"
"1599340","English"
"1599340","Spanish - Spain"
"534380","German"
"534380","English"
"534380","French"
"534380","Portuguese - Brazil"
"534380","Spanish - Spain"
"534380","Polish"
"534380","Simplified Chinese"
"534380","Japanese"
"534380","Spanish - Latin America"
"534380","Russian"
"534380","Turkish"
"1238840","German"
"1238840","English"
"1238840","French"
"1238840","Portuguese - Brazil"
"1238840","Spanish - Spain"
"1238840","Turkish"
"1238840","Japanese"
"1238840","Arabic"
"1238840","Spanish - Latin America"
"1238840","Italian"
"435150","Japanese"
"435150","English"
"3241660","English"
"2050650","German"
"2050650","English"
"2050650","French"
"2050650","Portuguese - Brazil"
"2050650","Spanish - Spain"
"2050650","Simplified Chinese"
"2050650","Japanese"
"2050650","Spanish - Latin America"
"2050650","Russian"
"2050650","Italian"
"518790","Japanese"
"518790","English"
"1240440","German"
"1240440","English"
"1240440","French"
"1240440","Portuguese - Brazil"
"1240440","Traditional Chinese"
"1240440","Korean"
"1240440","Spanish - Spain"
"1240440","Simplified Chinese"
"1240440","Japanese"
"1240440","Spanish - Latin America"
"1240440","Russian"
"1240440","Italian"
"1240440","Portuguese - Portugal"
"12210","English"
"12210","Spanish - Spain"
"552520","German"
"552520","English"
"552520","French"
"552520","Portuguese - Brazil"
"552520","Traditional Chinese"
"552520","Spanish - Spain"
"552520","Japanese"
"552520","Russian"
"552520","Italian"
"883710","German"
"883710","English"
"883710","French"
"883710","Spanish - Spain"
"883710","Japanese"
"883710","Simplified Chinese"
"883710","Spanish - Latin America"
"883710","Italian"
"812140","German"
"812140","English"
"812140","French"
"812140","Portuguese - Brazil"
"812140","Traditional Chinese"
"812140","Spanish - Spain"
"812140","Japanese"
"812140","Russian"
"812140","Italian"
"1229490","English"
"1222140","German"
"1222140","English"
"1222140","French"
"1222140","Portuguese - Brazil"
"1222140","Spanish - Spain"
"1222140","Polish"
"1222140","Simplified Chinese"
"1222140","Japanese"
"1222140","Arabic"
"1222140","Spanish - Latin America"
"1222140","Russian"
"1222140","Italian"
"1222140","Portuguese - Portugal"
"2694490","Thai"
"2694490","English"
"588650","German"
"588650","English"
"588650","French"
"588650","Portuguese - Brazil"
"588650","Traditional Chinese"
"588650","Korean"
"588650","Spanish - Spain"
"588650","Polish"
"588650","Japanese"
"588650","Simplified Chinese"
"588650","Turkish"
"588650","Spanish - Latin America"
"588650","Russian"
"588650","Italian"
"588650","Portuguese - Portugal"
"1716740","German"
"1716740","English"
"1716740","French"
"1716740","Spanish - Spain"
"1716740","Simplified Chinese"
"1716740","Japanese"
"211820","English"
"2183900","German"
"2183900","English"
"2183900","French"
"2183900","Thai"
"2183900","Spanish - Spain"
"2183900","Simplified Chinese"
"2183900","Japanese"
"2183900","Russian"
"813780","German"
"813780","English"
"813780","French"
"813780","Portuguese - Brazil"
"813780","Traditional Chinese"
"813780","Korean"
"813780","Spanish - Spain"
"813780","Malay"
"813780","Simplified Chinese"
"813780","Spanish - Latin America"
"813780","Italian"
"379430","Czech"
"379430","German"
"379430","English"
"379430","French"
"379430","Japanese"
"1172380","German"
"1172380","English"
"1172380","French"
"1172380","Portuguese - Brazil"
"1172380","Traditional Chinese"
"1172380","Spanish - Spain"
"1172380","Polish"
"1172380","Japanese"
"1172380","Spanish - Latin America"
"1172380","Russian"
"1172380","Italian"
"1593500","German"
"1593500","English"
"1593500","French"
"1593500","Portuguese - Brazil"
"1593500","Spanish - Spain"
"1593500","Polish"
"1593500","Greek"
"1593500","Japanese"
"1593500","Spanish - Latin America"
"1593500","Russian"
"1593500","Italian"
"1593500","Portuguese - Portugal"
"306130","German"
"306130","English"
"306130","Simplified Chinese"
"306130","French"
"1811260","German"
"1811260","English"
"1811260","French"
"1811260","Portuguese - Brazil"
"1811260","Dutch"
"1811260","Spanish - Spain"
"1811260","Turkish"
"1811260","Polish"
"1811260","Simplified Chinese"
"1811260","Japanese"
"1811260","Arabic"
"1811260","Russian"
"1811260","Italian"
"304390","Czech"
"304390","German"
"304390","English"
"304390","French"
"304390","Portuguese - Brazil"
"304390","Spanish - Spain"
"304390","Japanese"
"304390","Russian"
"304390","Italian"
"262060","Japanese"
"262060","English"
"397540","German"
"397540","English"
"397540","French"
"397540","Traditional Chinese"
"397540","Korean"
"397540","Spanish - Spain"
"397540","Simplified Chinese"
"397540","Japanese"
"397540","Italian"
"444200","German"
"444200","Vietnamese"
"444200","Portuguese - Brazil"
"444200","Spanish - Spain"
"444200","Arabic"
